college,outcome rating,outcome score
College of Arts and Humanites,Exemplary,189
College of Arts and Humanites,Fail,14
College of Arts and Humanites,Minimum,77
College of Arts and Humanites,No Data Collected,72
College of Arts and Humanites,Target,253
College of Behavior and Social Sciences,Exemplary,24
College of Behavior and Social Sciences,Fail,11
College of Behavior and Social Sciences,Minimum,3
College of Behavior and Social Sciences,Target,16
College of Educaton,Exemplary,18
College of Educaton,Target,29
College of Natural and Applied Sciences,Exemplary,51
College of Natural and Applied Sciences,Fail,12
College of Natural and Applied Sciences,Minimum,10
College of Natural and Applied Sciences,No Data Collected,70
College of Natural and Applied Sciences,Target,144
College of Nursing,Exemplary,37
College of Theology & Christian Ministry,Exemplary,79
College of Theology & Christian Ministry,Invalid Entry - Distinguished/Commendable,42
College of Theology & Christian Ministry,Minimum,25
College of Theology & Christian Ministry,No Data Collected,175
College of Theology & Christian Ministry,Target,148
