course_id,outcome rating,outcome score
SP2022_ARDE3950_01,Minimum,4
SP2022_ARDE3950_01,Target,11
SP2022_BIBL1100_01,Exemplary,2
SP2022_BIBL1100_01,No Data Collected,174
SP2022_BIOL1060_1U,Exemplary,3
SP2022_BIOL1060_1U,Fail,1
SP2022_BIOL1060_1U,No Data Collected,5
SP2022_BIOL1060_1U,Target,16
SP2022_BIOL4980_01,Exemplary,10
SP2022_BIOL4980_01,Target,7
SP2022_CHEM1210L_01,Exemplary,7
SP2022_CHEM1210L_01,Minimum,2
SP2022_CHEM1210L_01,No Data Collected,1
SP2022_CHEM1210L_01,Target,37
SP2022_CLTA1550_01,Exemplary,4
SP2022_CLTA1550_01,Fail,1
SP2022_CLTA1550_01,Minimum,11
SP2022_CLTA1550_01,No Data Collected,1
SP2022_CLTA1550_01,Target,27
SP2022_COMM1210_01,Exemplary,12
SP2022_COMM1210_01,Target,8
SP2022_COMM1210_02,Exemplary,8
SP2022_COMM1210_02,Minimum,1
SP2022_COMM1210_02,No Data Collected,2
SP2022_COMM1210_02,Target,10
SP2022_COMM1210_03,Exemplary,1
SP2022_COMM1210_03,No Data Collected,21
SP2022_COMM1210_04,Exemplary,2
SP2022_COMM1210_04,No Data Collected,19
SP2022_COMM1210_04,Target,1
SP2022_COMM2030_01,Exemplary,12
SP2022_COMM2030_01,Fail,1
SP2022_COMM2030_01,Minimum,6
SP2022_COMM2030_01,Target,8
SP2022_COMM3200_01,Exemplary,2
SP2022_COMM3200_01,Fail,1
SP2022_COMM3200_01,Minimum,4
SP2022_COMM3200_01,No Data Collected,9
SP2022_COMM3200_01,Target,27
SP2022_COMP4980_01,Exemplary,7
SP2022_CRIM4010_01,Exemplary,8
SP2022_CRIM4010_01,Target,1
SP2022_EDUC2250_1L,Target,7
SP2022_EDUC2250_1U,Target,4
SP2022_EDUC3310_1L,Target,6
SP2022_EDUC4950_01,Exemplary,18
SP2022_EDUC4950_01,Target,12
SP2022_ENGL1030B_01,Exemplary,9
SP2022_ENGL1030B_01,Fail,1
SP2022_ENGL1030B_01,Minimum,2
SP2022_ENGL1030B_01,Target,3
SP2022_ENGL1030B_02,Exemplary,7
SP2022_ENGL1030B_02,Fail,1
