,submission_date,outcome code,outcome year,semester,course,section,outcome score,outcome rating,college,compliance
13328,2022-04-18,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
17704,2022-05-01,CF2,U1415,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
20155,2022-05-02,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
21601,2022-05-02,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
24034,2022-05-02,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
24751,2022-05-02,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27296,2022-04-30,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27319,2022-05-02,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27388,2022-04-20,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
27558,2022-04-29,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27637,2022-05-02,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
32311,2022-05-02,CF2,U1415,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
34366,2022-05-04,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34369,2022-05-02,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34391,2022-05-02,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34400,2022-04-30,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
34401,2022-05-01,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34410,2022-04-30,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34671,2022-05-02,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
34845,2022-04-30,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
38860,2022-05-02,CF2,U1415,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
40463,2022-05-04,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40561,2022-04-30,CF2,U1415,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
40609,2022-05-01,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
40610,2022-05-02,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
40618,2022-05-02,CF2,U1415,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
40629,2022-05-03,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40677,2022-05-02,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40683,2022-05-02,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40704,2022-05-04,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40747,2022-05-02,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
40757,2022-05-02,CF2,U1415,SP2022,THEO2100,03,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
40802,2022-05-02,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40938,2022-05-02,CF2,U1415,SP2022,THEO2100,03,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
41160,2022-05-02,CF2,U1415,SP2022,THEO2100,03,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
2835,2022-04-25,CF4,U1516,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
3078,2022-04-25,CF4,U1516,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
