,student id,learning outcome name,learning outcome friendly name,course sis id,assessment title,learning outcome rating,learning outcome rating points
0,13328,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Exemplary: Articulate distinctive characteristics of Wesleyan theology and its contributions to broader conversations within Christian theology.,3.0
1,17704,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Minimum: List the characteristics of Wesleyan theology.,1.0
2,20155,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Exemplary: Articulate distinctive characteristics of Wesleyan theology and its contributions to broader conversations within Christian theology.,3.0
3,21601,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Target: Compare and contrast Wesleyan theology with other major theological traditions of Christendom.,2.0
4,24034,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Exemplary: Articulate distinctive characteristics of Wesleyan theology and its contributions to broader conversations within Christian theology.,3.0
5,24751,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Target: Compare and contrast Wesleyan theology with other major theological traditions of Christendom.,2.0
6,27296,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Target: Compare and contrast Wesleyan theology with other major theological traditions of Christendom.,2.0
7,27319,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Target: Compare and contrast Wesleyan theology with other major theological traditions of Christendom.,2.0
8,27388,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Exemplary: Articulate distinctive characteristics of Wesleyan theology and its contributions to broader conversations within Christian theology.,3.0
9,27558,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Target: Compare and contrast Wesleyan theology with other major theological traditions of Christendom.,2.0
10,27637,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Target: Compare and contrast Wesleyan theology with other major theological traditions of Christendom.,2.0
11,32311,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Minimum: List the characteristics of Wesleyan theology.,1.0
12,34366,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Exemplary: Articulate distinctive characteristics of Wesleyan theology and its contributions to broader conversations within Christian theology.,3.0
13,34369,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Exemplary: Articulate distinctive characteristics of Wesleyan theology and its contributions to broader conversations within Christian theology.,3.0
14,34391,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Exemplary: Articulate distinctive characteristics of Wesleyan theology and its contributions to broader conversations within Christian theology.,3.0
15,34400,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Exemplary: Articulate distinctive characteristics of Wesleyan theology and its contributions to broader conversations within Christian theology.,3.0
16,34401,GE_CF2_U1415 Christian Formation 2,Christian Formation 2,SP2022_THEO2100_03,My Theology Paper:  Comparing and Contrasting Wesleyan Theology with My Own Christian Theological Tradition,Target: Compare and contrast Wesleyan theology with other major theological traditions of Christendom.,2.0
